Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2019-09-1,8.3,15.2,0,4.0,0.7,N,39,16:59,11.8,70,7,NNW,11,1016.0,14.6,59,7,N,15,1012.1
2019-09-2,6.2,18.3,0,1.2,10.5,WSW,30,20:54,10.7,70,1,NNW,15,1018.4,16.6,43,4,SSE,15,1012.7
2019-09-3,8.5,20.1,0,2.6,9.9,WNW,41,12:58,14.1,57,2,N,13,1010.7,19.8,20,3,W,19,1008.7
2019-09-4,5.9,16.1,0,4.0,5.0,WNW,56,15:11,12.4,56,7,W,17,1008.2,15.2,39,6,WNW,24,1006.6
2019-09-5,2.9,13.9,0,3.0,8.0,NW,31,00:33,9.1,63,4,NW,15,1015.6,12.1,49,2,SSE,22,1013.7
2019-09-6,2.3,11.6,0,2.0,1.3,ESE,30,14:34,6.3,85,7,WNW,11,1006.6,10.5,89,8,ESE,13,999.9
2019-09-7,6.3,10.2,6.2,0.8,0.0,SSE,48,08:33,9.9,68,8,SSE,31,1004.4,9.5,70,8,S,28,1006.8
2019-09-8,4.3,14.4,0.6,1.0,5.4,WSW,28,23:55,6.6,81,7,NNW,13,1010.1,13.3,54,2,NE,9,1004.8
2019-09-9,6.3,12.5,3.0,2.8,8.0,S,59,12:08,7.2,71,6,SW,30,1016.5,10.7,43,4,S,22,1019.1
2019-09-10,4.6,16.9,0.4,2.4,10.1,NW,46,19:40,12.4,54,3,NW,20,1022.1,16.8,40,2,WNW,28,1021.1
2019-09-11,10.0,21.3,0,3.6,5.2,WNW,59,13:24,13.6,54,6,NNW,33,1021.3,19.6,28,7,NW,43,1015.8
2019-09-12,12.2,18.2,0.6,6.8,8.1,WNW,106,02:49,14.8,67,6,NW,30,1006.3,13.7,33,4,W,28,1010.3
2019-09-13,4.2,15.6,0.2,5.0,2.8,NW,56,16:27,10.8,55,7,NNW,20,1016.7,13.9,43,7,NNW,26,1008.9
2019-09-14,6.3,17.4,2.0,2.4,10.3,NNW,52,21:37,13.0,46,3,WNW,17,1018.9,17.2,38,2,NNW,24,1015.2
2019-09-15,12.3,17.8,0,4.4,10.0,W,52,06:34,14.9,26,5,WNW,20,1009.9,16.6,29,3,NW,13,1007.1
2019-09-16,5.2,11.1,1.4,5.8,8.8,W,61,03:20,8.3,52,5,W,19,1013.6,9.7,32,6,SW,22,1018.0
2019-09-17,2.5,14.5,0,4.0,11.1,NW,41,12:21,8.7,50,1,NNW,20,1026.8,14.0,34,6,NW,24,1024.4
2019-09-18,2.7,17.2,0.2,4.0,10.8,NNW,31,10:23,10.0,48,1,NW,13,1028.1,15.0,37,1,SE,17,1024.1
2019-09-19,4.2,21.6,0,3.6,11.1,N,52,14:10,12.0,52,1,NW,17,1024.5,20.9,32,1,N,24,1018.4
2019-09-20,11.0,26.5,0,4.4,5.6,N,50,13:40,18.9,60,3,NNE,11,1017.4,24.6,37,7,N,28,1013.1
2019-09-21,11.2,21.4,0,5.4,0.4,NW,67,19:50,14.7,80,7,SE,6,1007.5,19.3,58,7,N,31,1001.0
